ticker,name
GOOG,Alphabet Inc.
GOOGL,Alphabet Inc.
META,Meta Platforms
TMUS,T-Mobile US
DIS,The Walt Disney Company
VZ,Verizon Communications Inc.
CMCSA,Comcast Corporation
NFLX,Netflix
T,AT&T Inc.
ATVI,Activision Blizzard
AMX,América Móvil
AMOV,América Móvil
RELX,RELX PLC
CHTR,Charter Communications
NTES,NetEase
BCE,BCE Inc.
BIDU,Baidu
EA,Electronic Arts Inc.
TU,TELUS Corporation
VOD,Vodafone Group Public Limited Company
CHT,Chunghwa Telecom Co.
WBD,Warner Bros. Discovery
ORAN,Orange S.A.
SIRI,Sirius XM Holdings Inc.
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
RCI,Rogers Communications Inc.
DASH,DoorDash
RBLX,Roblox Corporation
PINS,Pinterest
TTWO,Take-Two Interactive Software
WMG,Warner Music Group Corp.
LYV,Live Nation Entertainment
FOXA,Fox Corporation
FOX,Fox Corporation
OMC,Omnicom Group Inc.
SNAP,Snap Inc.
SPOT,Spotify Technology S.A.
FWONA,Formula One Group
FWONK,Formula One Group
TME,Tencent Music Entertainment Group
LSXMA,The Liberty SiriusXM Group
LSXMK,The Liberty SiriusXM Group
SJR,Shaw Communications Inc.
IPG,The Interpublic Group of Companies
PARAA,Paramount Global
PARA,Paramount Global
MTCH,Match Group
LBRDA,Liberty Broadband Corporation
LBRDK,Liberty Broadband Corporation
VIV,Telefônica Brasil S.A.
WPP,WPP plc
NWS,News Corporation
NWSA,News Corporation
TWLO,Twilio Inc.
BILI,Bilibili Inc.
ZG,Zillow Group
Z,Zillow Group
LBTYA,Liberty Global plc
LBTYK,Liberty Global plc
LBTYB,Liberty Global plc
DISH,DISH Network Corporation
SKM,SK Telecom Co.
PSO,Pearson plc
KT,KT Corporation
ROKU,Roku
NXST,Nexstar Media Group
YNDX,Yandex N.V.
IRDM,Iridium Communications Inc.
EDR,Endeavor Group Holdings
PHI,PLDT Inc.
FYBR,Frontier Communications Parent
LUMN,Lumen Technologies
NYT,The New York Times Company
TIMB,TIM S.A.
WWE,World Wrestling Entertainment
WB,Weibo Corporation
TGNA,TEGNA Inc.
CABO,Cable One
IAC,IAC Inc.
ZD,Ziff Davis
ATHM,Autohome Inc.
MSGS,Madison Square Garden Sports Corp.
STGW,Stagwell Inc.
MANU,Manchester United plc
PLTK,Playtika Holding Corp.
TV,Grupo Televisa
AMC,AMC Entertainment Holdings
CCOI,Cogent Communications Holdings
YY,JOYY Inc.
TIGO,Millicom International Cellular S.A.
WLY,John Wiley & Sons
WLYB,John Wiley & Sons
IHS,IHS Holding Limited
BOWL,Bowlero Corp.
GOGO,Gogo Inc.
YELP,Yelp Inc.
SSTK,Shutterstock
USM,United States Cellular Corporation
BATRK,The Liberty Braves Group
BATRA,The Liberty Braves Group
